index,feature_name
0,bandwidth_0
1,centroid_0
2,contrast_0
3,contrast_1
4,contrast_2
5,contrast_3
6,contrast_4
7,contrast_5
8,contrast_6
9,energy_0
10,flatness_0
11,flux_0
12,melspect_0
13,melspect_1
14,melspect_2
15,melspect_3
16,melspect_4
17,melspect_5
18,melspect_6
19,melspect_7
20,melspect_8
21,melspect_9
22,melspect_10
23,melspect_11
24,melspect_12
25,melspect_13
26,melspect_14
27,melspect_15
28,melspect_16
29,melspect_17
30,melspect_18
31,melspect_19
32,melspect_20
33,melspect_21
34,melspect_22
35,melspect_23
36,melspect_24
37,melspect_25
38,melspect_26
39,melspect_27
40,melspect_28
41,melspect_29
42,melspect_30
43,melspect_31
44,melspect_32
45,melspect_33
46,melspect_34
47,melspect_35
48,melspect_36
49,melspect_37
50,melspect_38
51,melspect_39
52,melspect_40
53,melspect_41
54,melspect_42
55,melspect_43
56,melspect_44
57,melspect_45
58,melspect_46
59,melspect_47
60,melspect_48
61,melspect_49
62,melspect_50
63,melspect_51
64,melspect_52
65,melspect_53
66,melspect_54
67,melspect_55
68,melspect_56
69,melspect_57
70,melspect_58
71,melspect_59
72,melspect_60
73,melspect_61
74,melspect_62
75,melspect_63
76,mfcc_0
77,mfcc_1
78,mfcc_2
79,mfcc_3
80,mfcc_4
81,mfcc_5
82,mfcc_6
83,mfcc_7
84,mfcc_8
85,mfcc_9
86,mfcc_10
87,mfcc_11
88,mfcc_12
89,mfcc_13
90,mfcc_14
91,mfcc_15
92,mfcc_16
93,mfcc_17
94,mfcc_18
95,mfcc_19
96,mfcc_20
97,mfcc_21
98,mfcc_22
99,mfcc_23
100,mfcc_24
101,mfcc_25
102,mfcc_26
103,mfcc_27
104,mfcc_28
105,mfcc_29
106,mfcc_30
107,mfcc_31
108,mfcc_d_0
109,mfcc_d_1
110,mfcc_d_2
111,mfcc_d_3
112,mfcc_d_4
113,mfcc_d_5
114,mfcc_d_6
115,mfcc_d_7
116,mfcc_d_8
117,mfcc_d_9
118,mfcc_d_10
119,mfcc_d_11
120,mfcc_d_12
121,mfcc_d_13
122,mfcc_d_14
123,mfcc_d_15
124,mfcc_d_16
125,mfcc_d_17
126,mfcc_d_18
127,mfcc_d_19
128,mfcc_d_20
129,mfcc_d_21
130,mfcc_d_22
131,mfcc_d_23
132,mfcc_d_24
133,mfcc_d_25
134,mfcc_d_26
135,mfcc_d_27
136,mfcc_d_28
137,mfcc_d_29
138,mfcc_d_30
139,mfcc_d_31
140,mfcc_d2_0
141,mfcc_d2_1
142,mfcc_d2_2
143,mfcc_d2_3
144,mfcc_d2_4
145,mfcc_d2_5
146,mfcc_d2_6
147,mfcc_d2_7
148,mfcc_d2_8
149,mfcc_d2_9
150,mfcc_d2_10
151,mfcc_d2_11
152,mfcc_d2_12
153,mfcc_d2_13
154,mfcc_d2_14
155,mfcc_d2_15
156,mfcc_d2_16
157,mfcc_d2_17
158,mfcc_d2_18
159,mfcc_d2_19
160,mfcc_d2_20
161,mfcc_d2_21
162,mfcc_d2_22
163,mfcc_d2_23
164,mfcc_d2_24
165,mfcc_d2_25
166,mfcc_d2_26
167,mfcc_d2_27
168,mfcc_d2_28
169,mfcc_d2_29
170,mfcc_d2_30
171,mfcc_d2_31
172,power_0
173,yin_0
174,zcr_0
