filename,command,start,end
2_speech_true_Ofen_aus,Ofen aus,11.2523,12.07747
3_speech_true_Radio_an,Radio an,21.4804,23.18083
4_speech_true_Alarm_an,Alarm an,14.4572,16.08301
9_speech_true_Radio_aus,Radio aus,3.67909,5.63126
11_speech_false_Fernseher_aus,Fernseher aus,10.5785,11.67886
13_speech_true_Heizung_an,Staubsauger an,3.85354,5.68022
14_speech_false_Licht_aus,Staubsauger an,10.1516,11.27677
16_speech_true_Fernseher_an,Fernseher an,6.15504,7.15586
19_speech_false_Lüftung_aus,Staubsauger an,8.45186,10.07722
22_speech_false_Heizung_an,Heizung an,6.95695,8.43342
24_speech_true_Licht_an,Staubsauger an,12.6053,14.05591
27_speech_false_Fernseher_an_Licht_aus,Fernseher an,5.05414,5.879816
27_speech_false_Fernseher_an_Licht_aus,Licht aus,13.1357,14.011417
28_speech_true_Heizung_aus,Heizung aus,7.55863,8.86012
29_speech_false_Lüftung_an,Lüftung an,3.99818,5.0477
33_speech_false_Staubsauger_an,Staubsauger an,8.80454,10.10521
34_speech_false_Radio_aus_Radio_an,Radio an,10.8717,11.796419
34_speech_false_Radio_aus_Radio_an,Radio an,20.6437,21.79335
35_speech_false_Ofen_aus,Ofen aus,9.15499,10.85592
36_speech_false_Radio_an,Radio an,11.1974,12.947
37_speech_true_Radio_aus_Alarm_an,Alarm an,13.8999,14.9749
37_speech_true_Radio_aus_Alarm_an,Alarm an,15.9499,17.47489
39_speech_false_Alarm_aus,Staubsauger an,13.0569,14.45764
40_speech_false_Staubsauger_aus_Heizung_an,Staubsauger aus,15.8277,16.92789
40_speech_false_Staubsauger_aus_Heizung_an,Staubsauger aus,19.4533,20.95356
42_speech_true_Ofen_aus,Ofen aus,6.32484,8.24979
43_speech_false_Ofen_an,Ofen an,15.4947,17.11914
45_speech_false_Ofen_an,Ofen an,8.92097,9.920518
47_speech_false_Radio_aus_Licht_aus,Radio aus,7.80517,8.705767
47_speech_false_Radio_aus_Licht_aus,Radio aus,11.0323,12.03296
48_speech_true_Staubsauger_an_Alarm_an,Alarm an,9.10542,10.60631
48_speech_true_Staubsauger_an_Alarm_an,Alarm an,11.2817,12.78259
49_speech_true_Heizung_aus,Staubsauger an,9.15204,10.65237
50_speech_true_Fernseher_an,Fernseher an,8.35973,9.83645
51_speech_true_Lüftung_an,Lüftung an,11.0806,12.88152
52_speech_true_Heizung_an,Heizung an,9.75139,11.02657
53_speech_true_Licht_aus_Alarm_aus,Licht aus,10.9039,12.42944
53_speech_true_Licht_aus_Alarm_aus,Alarm aus,12.8545,14.17997
